Course,Site,Free?
Sketch: as 10 heurísticas de Nielsen na criação de um layout II -  Intermediário,https://www.alura.com.br/,No
Design de Apresentação: Princípios e Técnicas Visuais -  Básico,https://www.alura.com.br/,No
HTML e CSS: Os seus primeiros passos -  Básico,https://www.alura.com.br/,No
HTML5 e CSS3 I: Suas primeiras páginas da Web -  Básico,https://www.alura.com.br/,No
HTML5 e CSS3 II: Turbinando as suas páginas -  Intermediário,https://www.alura.com.br/,No
Web Design Responsivo: Páginas que se adaptam do mobile ao desk -  Básico,https://www.alura.com.br/,No
Bootstrap: criação de uma single-page responsiva -  Intermediário,https://www.alura.com.br/,No
HTTP: Entendendo a web por baixo dos panos -  Básico,https://www.alura.com.br/,No
Google Chart Tools: Crie Gráficos Memoráveis na Web -  Básico,https://www.alura.com.br/,No
jQuery I: Introdução à biblioteca campeã de JavaScript -  Básico,https://www.alura.com.br/,No
jQuery II: Manipulação dinâmica de conteúdo -  Intermediário,https://www.alura.com.br/,No
JavaScript: Programando na linguagem da web -  Básico,https://www.alura.com.br/,No
Expressões regulares: Capturando textos de forma mágica -  Intermediário,https://www.alura.com.br/,No
"JavaScript avançado I:  ES6, orientação a objetos e padrões de projetos -  Avançado",https://www.alura.com.br/,No
"JavaScript Avançado II: ES6, orientação a objetos e padrões de projetos -  Avançado",https://www.alura.com.br/,No
"JavaScript Avançado III: ES6, orientação a objetos e padrões de projetos -  Avançado",https://www.alura.com.br/,No
AngularJS: crie webapps poderosas -  Intermediário,https://www.alura.com.br/,No
Meteor: Crie single page applications com JavaScript -  Básico,https://www.alura.com.br/,No
Node.js: Inovando com Javascript no backend -  Básico,https://www.alura.com.br/,No
MEAN Stack: criando aplicações completas com Javascript -  Intermediário,https://www.alura.com.br/,No
Node.js e HTTP: desenvolvendo uma API seguindo o estilo REST -  Intermediário,https://www.alura.com.br/,No
Grunt: Automação de tarefas front-end -  Intermediário,https://www.alura.com.br/,No
Jasmine: Testes automatizados em JavaScript -  Intermediário,https://www.alura.com.br/,No
Sass e Compass: Descomplicando o CSS -  Básico,https://www.alura.com.br/,No
Gulp: automação de tarefas front-end -  Intermediário,https://www.alura.com.br/,No
LESS: CSS simples e produtivo -  Básico,https://www.alura.com.br/,No
Performance Web I: otimizando o front-end -  Intermediário,https://www.alura.com.br/,No
"Performance Web II: Critical Path, HTTP/2 e Resource Hints -  Intermediário",https://www.alura.com.br/,No
MySQL I: Iniciando suas consultas -  Básico,https://www.alura.com.br/,No
MySQL II: Consultas poderosas -  Intermediário,https://www.alura.com.br/,No
PostgreSQL I: Primeiros passos com suas consultas -  Básico,https://www.alura.com.br/,No
SQLServer I: desvendando o banco de dados -  Básico,https://www.alura.com.br/,No
SQLServer II: Consultas poderosas -  Intermediário,https://www.alura.com.br/,No
Oracle I: Aprenda SQL usando esse famoso banco de dados -  Básico,https://www.alura.com.br/,No
